graph_name,dataset,role,source_path,num_nodes,num_edges,density,average_degree,average_strength,edge_weight_mean,edge_weight_median,edge_weight_std,edge_weight_min,edge_weight_max,average_clustering,average_weighted_clustering,transitivity,local_efficiency_mean,edge_overlap_mean,is_connected,num_connected_components,giant_component_size,giant_component_ratio,node_connectivity_gcc,edge_connectivity_gcc,degree_assortativity,num_communities,modularity,largest_community_size,largest_community_ratio,avg_path_length_gcc,median_path_length_gcc,p90_path_length_gcc,diameter_gcc,avg_weighted_distance_gcc,global_efficiency
metr-la-by-high_sal-with-alpah_filter0_3,metr-la,backbone,/home/suleimane/master/main/master-main/data/GraphML/metr-la-by-high_sal-with-alpah_filter0_3.GraphML,128,97,0.011934055118110236,1.515625,0.9095382821979001,0.6001077325841815,0.612034022808075,0.1703137798815956,0.10307952761650085,0.9922068119049072,0.0,0.0,0.0,0.0,0.0,False,31,23,0.1796875,1.0,1.0,-0.09488850142241007,34,0.9373490311492217,9,0.0703125,4.33201581027668,4.0,7.0,10.0,7.8528612638724065,0.02464281808523931
metr-la,metr-la,original,/home/suleimane/master/main/master-main/data/GraphML/metr-la.GraphML,207,1313,0.061582477369729376,12.68599033816425,5.144801216424951,0.4055498293221496,0.3212842345237732,0.2664214215354655,0.10008397698402405,0.9998319149017334,0.5484908174323528,0.22063398549839594,0.5510989624009818,0.7472739491051362,0.3876396025686644,False,2,206,0.9951690821256038,2.0,2.0,0.46162532528411615,8,0.6978109147260045,53,0.2560386473429952,5.063746152024627,5.0,9.0,13.0,15.559703731966676,0.27886506280697293
