model_a,model_b,rank_diff,p_value,significant
NC,HSS,0.33333333333333326,0.9890583014313,False
NC,Full,0.6666666666666667,0.9216027650250743,False
NC,DF,2.333333333333333,0.11949503728587263,False
HSS,Full,0.3333333333333335,0.9890583014313,False
HSS,DF,2.0,0.22910353693815166,False
Full,DF,1.6666666666666665,0.3894010874026901,False
