experiment_name,model,dataset,selection_metric,selected_params,selected_num_completed_seeds,final_num_completed_seeds,timestamp,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_min,test_mae_max,test_mae_n,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_min,test_rmse_max,test_rmse_n,test_mape_mean,test_mape_std,test_mape_ci95_low,test_mape_ci95_high,test_mape_min,test_mape_max,test_mape_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_min,test_smape_max,test_smape_n,test_wape_mean,test_wape_std,test_wape_ci95_low,test_wape_ci95_high,test_wape_min,test_wape_max,test_wape_n,test_loss_normalized_mean,test_loss_normalized_std,test_loss_normalized_ci95_low,test_loss_normalized_ci95_high,test_loss_normalized_min,test_loss_normalized_max,test_loss_normalized_n,num_completed_seeds,rank_in_dataset,delta_vs_best_pct
original_metr-la_GraphWaveNet_run_configured_example,GraphWaveNet,metr-la,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""epochs"": 2, ""hidden_dim"": 32, ""horizon"": 12, ""input_dim"": 1, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 2, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,1,2026-04-29T21:47:21.999464,6.335712432861328,0.0,6.335712432861328,6.335712432861328,6.335712432861328,6.335712432861328,1,12.476897239685059,0.0,12.476897239685059,12.476897239685059,12.476897239685059,12.476897239685059,1,17606109184.0,0.0,17606109184.0,17606109184.0,17606109184.0,17606109184.0,1,34.87403869628906,0.0,34.87403869628906,34.87403869628906,34.87403869628906,34.87403869628906,1,12.486777305603027,0.0,12.486777305603027,12.486777305603027,12.486777305603027,12.486777305603027,1,0.40881364666378106,0.0,0.40881364666378106,0.40881364666378106,0.40881364666378106,0.40881364666378106,1,1,1,0.0
original_metr-la_DGCRN_run_configured_example,DGCRN,metr-la,val_mae,"{""dropout"": 0.1, ""epochs"": 2, ""gcn_depth"": 2, ""hidden_dim"": 32, ""horizon"": 12, ""input_dim"": 1, ""lr"": 0.001, ""node_dim"": 16, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,1,2026-04-29T21:47:21.999527,6.501735210418701,0.0,6.501735210418701,6.501735210418701,6.501735210418701,6.501735210418701,1,12.629244804382324,0.0,12.629244804382324,12.629244804382324,12.629244804382324,12.629244804382324,1,11722626048.0,0.0,11722626048.0,11722626048.0,11722626048.0,11722626048.0,1,36.65038299560547,0.0,36.65038299560547,36.65038299560547,36.65038299560547,36.65038299560547,1,12.813983917236328,0.0,12.813983917236328,12.813983917236328,12.813983917236328,12.813983917236328,1,0.4188957587036818,0.0,0.4188957587036818,0.4188957587036818,0.4188957587036818,0.4188957587036818,1,1,2,2.620427920564472
original_metr-la_MTGNN_run_configured_example,MTGNN,metr-la,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""epochs"": 2, ""gcn_depth"": 2, ""hidden_dim"": 32, ""horizon"": 12, ""input_dim"": 1, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 2, ""output_dim"": 1, ""patience"": 5, ""propalpha"": 0.05, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,1,2026-04-29T21:47:21.999502,6.669495105743408,0.0,6.669495105743408,6.669495105743408,6.669495105743408,6.669495105743408,1,12.311209678649902,0.0,12.311209678649902,12.311209678649902,12.311209678649902,12.311209678649902,1,17668517888.0,0.0,17668517888.0,17668517888.0,17668517888.0,17668517888.0,1,35.421791076660156,0.0,35.421791076660156,35.421791076660156,35.421791076660156,35.421791076660156,1,13.144615173339844,0.0,13.144615173339844,13.144615173339844,13.144615173339844,13.144615173339844,1,0.39808807911995414,0.0,0.39808807911995414,0.39808807911995414,0.39808807911995414,0.39808807911995414,1,1,3,5.268273716951799
