graph_name,dataset,role,source_path,num_nodes,num_edges,density,average_degree,average_strength,edge_weight_mean,edge_weight_median,edge_weight_std,edge_weight_min,edge_weight_max,average_clustering,average_weighted_clustering,transitivity,local_efficiency_mean,edge_overlap_mean,is_connected,num_connected_components,giant_component_size,giant_component_ratio,node_connectivity_gcc,edge_connectivity_gcc,degree_assortativity,num_communities,modularity,largest_community_size,largest_community_ratio,avg_path_length_gcc,median_path_length_gcc,p90_path_length_gcc,diameter_gcc,avg_weighted_distance_gcc,global_efficiency
metr-la-by-glanb-with-alpah_filter0_3,metr-la,backbone,/home/suleimane/master/main/master-main/data/GraphML/metr-la-by-glanb-with-alpah_filter0_3.GraphML,206,383,0.018138763911910962,3.7184466019417477,2.2354618925058727,0.6011816577757307,0.6072549223899841,0.18838236990487883,0.10307952761650085,0.9922068119049072,0.0989965536082041,0.06893464040763148,0.10455192034139403,0.11307311440806586,0.053778640854358864,True,1,206,1.0,1.0,1.0,0.03354400421341759,12,0.7606189931343285,35,0.16990291262135923,7.816291735732891,8.0,13.0,20.0,15.70799619326794,0.18164948582380885
metr-la,metr-la,original,/home/suleimane/master/main/master-main/data/GraphML/metr-la.GraphML,207,1313,0.061582477369729376,12.68599033816425,5.144801216424951,0.4055498293221496,0.3212842345237732,0.2664214215354655,0.10008397698402405,0.9998319149017334,0.5484908174323528,0.22063398549839594,0.5510989624009818,0.7472739491051362,0.3876396025686644,False,2,206,0.9951690821256038,2.0,2.0,0.46162532528411615,8,0.6978109147260045,53,0.2560386473429952,5.063746152024627,5.0,9.0,13.0,15.559703731966676,0.27886506280697293
