dataset,graph_name,strategy,auc_lcc_mean,auc_lcc_std,auc_efficiency_mean,auc_efficiency_std
metr-la,metr-la,random,0.4558212560386473,0.01381509721142895,0.7233153746192402,0.03650405509531177
metr-la,metr-la,targeted_degree,0.38768115942028997,,0.43828831742621865,
metr-la,metr-la-by-disp_fil-with-alpah_filter0_4,random,0.33719806763285026,0.03610628615414043,0.522624815741076,0.05025601400038421
metr-la,metr-la-by-disp_fil-with-alpah_filter0_4,targeted_degree,0.23297101449275365,,0.24793619998769473,
