model,STICformer,GraphWaveNet,MTGNN
STICformer,1.0,0.11218311427809735,0.00018710512242481325
GraphWaveNet,0.11218311427809735,1.0,0.11218311427809735
MTGNN,0.00018710512242481325,0.11218311427809735,1.0
