backbone,NC,HSS,Full,DF
NC,1.0,0.9890583014313,0.9216027650250743,0.11949503728587263
HSS,0.9890583014313,1.0,0.9890583014313,0.22910353693815166
Full,0.9216027650250743,0.9890583014313,1.0,0.3894010874026901
DF,0.11949503728587263,0.22910353693815166,0.3894010874026901,1.0
