backbone,HSS,NC,Full,DF
HSS,1.0,0.9890583014313,0.778483368757214,0.22910353693815189
NC,0.9890583014313,1.0,0.9216027650250743,0.3894010874026901
Full,0.778483368757214,0.9216027650250743,1.0,0.7784833687572139
DF,0.22910353693815189,0.3894010874026901,0.7784833687572139,1.0
