experiment_name,model,dataset,params,num_completed_seeds,seeds,val_mae_mean,val_mae_std,val_mae_ci95_low,val_mae_ci95_high,val_mae_min,val_mae_max,val_mae_n,val_rmse_mean,val_rmse_std,val_rmse_ci95_low,val_rmse_ci95_high,val_rmse_min,val_rmse_max,val_rmse_n,val_mape_mean,val_mape_std,val_mape_ci95_low,val_mape_ci95_high,val_mape_min,val_mape_max,val_mape_n,val_smape_mean,val_smape_std,val_smape_ci95_low,val_smape_ci95_high,val_smape_min,val_smape_max,val_smape_n,val_wape_mean,val_wape_std,val_wape_ci95_low,val_wape_ci95_high,val_wape_min,val_wape_max,val_wape_n,val_loss_normalized_mean,val_loss_normalized_std,val_loss_normalized_ci95_low,val_loss_normalized_ci95_high,val_loss_normalized_min,val_loss_normalized_max,val_loss_normalized_n
simple_backbone_pems-bay-by-disp_fil-with-alpah_filter0_4_GraphWaveNet_22_04_2026-11h_30-epoch_1,GraphWaveNet,pems-bay-by-disp_fil-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],2.6449146270751953,0.0,2.6449146270751953,2.6449146270751953,2.6449146270751953,2.6449146270751953,1,5.479189395904541,0.0,5.479189395904541,5.479189395904541,5.479189395904541,5.479189395904541,1,134428.421875,0.0,134428.421875,134428.421875,134428.421875,134428.421875,1,5.610703945159912,0.0,5.610703945159912,5.610703945159912,5.610703945159912,5.610703945159912,1,4.258790016174316,0.0,4.258790016174316,4.258790016174316,4.258790016174316,4.258790016174316,1,0.3411050313180941,0.0,0.3411050313180941,0.3411050313180941,0.3411050313180941,0.3411050313180941,1
simple_backbone_pems-bay-by-disp_fil-with-alpah_filter0_4_MTGNN_22_04_2026-11h_30-epoch_1,MTGNN,pems-bay-by-disp_fil-with-alpah_filter0_4,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,[42],2.4932758808135986,0.0,2.4932758808135986,2.4932758808135986,2.4932758808135986,2.4932758808135986,1,5.32313871383667,0.0,5.32313871383667,5.32313871383667,5.32313871383667,5.32313871383667,1,133713.703125,0.0,133713.703125,133713.703125,133713.703125,133713.703125,1,5.179707050323486,0.0,5.179707050323486,5.179707050323486,5.179707050323486,5.179707050323486,1,4.014624118804932,0.0,4.014624118804932,4.014624118804932,4.014624118804932,4.014624118804932,1,0.3206836368225835,0.0,0.3206836368225835,0.3206836368225835,0.3206836368225835,0.3206836368225835,1
simple_backbone_pems-bay-by-disp_fil-with-alpah_filter0_4_STICformer_22_04_2026-11h_30-epoch_1,STICformer,pems-bay-by-disp_fil-with-alpah_filter0_4,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,[42],2.3482651710510254,0.0,2.3482651710510254,2.3482651710510254,2.3482651710510254,2.3482651710510254,1,4.859492778778076,0.0,4.859492778778076,4.859492778778076,4.859492778778076,4.859492778778076,1,133456.53125,0.0,133456.53125,133456.53125,133456.53125,133456.53125,1,4.802271366119385,0.0,4.802271366119385,4.802271366119385,4.802271366119385,4.802271366119385,1,3.78113055229187,0.0,3.78113055229187,3.78113055229187,3.78113055229187,3.78113055229187,1,0.2672841692217654,0.0,0.2672841692217654,0.2672841692217654,0.2672841692217654,0.2672841692217654,1
