dataset,graph_name,strategy,trial,fraction_removed,nodes_remaining,largest_component_ratio,global_efficiency_ratio
wikivital-mathematics,wikivital-mathematics,random,1,0.6000000000000001,427,0.3951310861423221,0.9233631398110878
wikivital-mathematics,wikivital-mathematics,random,1,0.65,374,0.3445692883895131,0.9099520696109278
wikivital-mathematics,wikivital-mathematics,random,1,0.7000000000000001,320,0.2940074906367041,0.8954407187484226
wikivital-mathematics,wikivital-mathematics,random,1,0.75,267,0.24531835205992508,0.8828470573069037
wikivital-mathematics,wikivital-mathematics,random,1,0.8,214,0.19662921348314608,0.8756979033315722
wikivital-mathematics,wikivital-mathematics,random,1,0.8500000000000001,160,0.1441947565543071,0.836579565639769
wikivital-mathematics,wikivital-mathematics,random,1,0.9,107,0.09363295880149813,0.7423998052568438
wikivital-mathematics,wikivital-mathematics,random,1,0.9500000000000001,53,0.026217228464419477,0.2588224472318595
wikivital-mathematics,wikivital-mathematics,random,1,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,2,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,2,0.05,1015,0.950374531835206,0.999334528842307
wikivital-mathematics,wikivital-mathematics,random,2,0.1,961,0.898876404494382,0.9690796369229012
wikivital-mathematics,wikivital-mathematics,random,2,0.15000000000000002,908,0.849250936329588,0.9630176192731346
wikivital-mathematics,wikivital-mathematics,random,2,0.2,854,0.798689138576779,0.9590194801929827
wikivital-mathematics,wikivital-mathematics,random,2,0.25,801,0.7490636704119851,0.9492932179752452
wikivital-mathematics,wikivital-mathematics,random,2,0.30000000000000004,748,0.6985018726591761,0.9373037009237108
wikivital-mathematics,wikivital-mathematics,random,2,0.35000000000000003,694,0.6479400749063671,0.9311186978311763
wikivital-mathematics,wikivital-mathematics,random,2,0.4,641,0.598314606741573,0.9186793410344761
wikivital-mathematics,wikivital-mathematics,random,2,0.45,587,0.547752808988764,0.9073859329316908
wikivital-mathematics,wikivital-mathematics,random,2,0.5,534,0.49812734082397003,0.9037880405607606
wikivital-mathematics,wikivital-mathematics,random,2,0.55,481,0.44662921348314605,0.8966572972070843
wikivital-mathematics,wikivital-mathematics,random,2,0.6000000000000001,427,0.3960674157303371,0.8885331374224318
wikivital-mathematics,wikivital-mathematics,random,2,0.65,374,0.3445692883895131,0.870827876223389
wikivital-mathematics,wikivital-mathematics,random,2,0.7000000000000001,320,0.29681647940074907,0.8635660735846297
wikivital-mathematics,wikivital-mathematics,random,2,0.75,267,0.24625468164794007,0.8304106320388227
wikivital-mathematics,wikivital-mathematics,random,2,0.8,214,0.1956928838951311,0.7969625064261716
wikivital-mathematics,wikivital-mathematics,random,2,0.8500000000000001,160,0.14232209737827714,0.6933591643363819
wikivital-mathematics,wikivital-mathematics,random,2,0.9,107,0.08801498127340825,0.5950590561371552
wikivital-mathematics,wikivital-mathematics,random,2,0.9500000000000001,53,0.03089887640449438,0.32554836856306973
wikivital-mathematics,wikivital-mathematics,random,2,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,3,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,3,0.05,1015,0.950374531835206,0.9986641526932891
wikivital-mathematics,wikivital-mathematics,random,3,0.1,961,0.899812734082397,0.9920346824238161
wikivital-mathematics,wikivital-mathematics,random,3,0.15000000000000002,908,0.850187265917603,0.991486529314772
wikivital-mathematics,wikivital-mathematics,random,3,0.2,854,0.799625468164794,0.9856848563700967
wikivital-mathematics,wikivital-mathematics,random,3,0.25,801,0.75,0.9802670039222342
wikivital-mathematics,wikivital-mathematics,random,3,0.30000000000000004,748,0.700374531835206,0.9803080640332562
wikivital-mathematics,wikivital-mathematics,random,3,0.35000000000000003,694,0.649812734082397,0.9708035473564703
wikivital-mathematics,wikivital-mathematics,random,3,0.4,641,0.600187265917603,0.9698047169940531
wikivital-mathematics,wikivital-mathematics,random,3,0.45,587,0.548689138576779,0.9689304357396006
wikivital-mathematics,wikivital-mathematics,random,3,0.5,534,0.499063670411985,0.9613178236087132
wikivital-mathematics,wikivital-mathematics,random,3,0.55,481,0.449438202247191,0.9481735422582809
wikivital-mathematics,wikivital-mathematics,random,3,0.6000000000000001,427,0.398876404494382,0.9503495086907119
wikivital-mathematics,wikivital-mathematics,random,3,0.65,374,0.350187265917603,0.9367157132039914
wikivital-mathematics,wikivital-mathematics,random,3,0.7000000000000001,320,0.299625468164794,0.9454642733815878
wikivital-mathematics,wikivital-mathematics,random,3,0.75,267,0.25,0.9546630308599179
wikivital-mathematics,wikivital-mathematics,random,3,0.8,214,0.199438202247191,0.9435872912155959
wikivital-mathematics,wikivital-mathematics,random,3,0.8500000000000001,160,0.14887640449438203,0.9283769153768082
wikivital-mathematics,wikivital-mathematics,random,3,0.9,107,0.09363295880149813,0.7015943403396101
wikivital-mathematics,wikivital-mathematics,random,3,0.9500000000000001,53,0.042134831460674156,0.6037977259348364
wikivital-mathematics,wikivital-mathematics,random,3,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,4,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,4,0.05,1015,0.950374531835206,0.9971208256707003
wikivital-mathematics,wikivital-mathematics,random,4,0.1,961,0.899812734082397,0.9926037028221834
wikivital-mathematics,wikivital-mathematics,random,4,0.15000000000000002,908,0.850187265917603,0.9886285984204731
wikivital-mathematics,wikivital-mathematics,random,4,0.2,854,0.798689138576779,0.9849846785396814
wikivital-mathematics,wikivital-mathematics,random,4,0.25,801,0.7490636704119851,0.9837005227712197
wikivital-mathematics,wikivital-mathematics,random,4,0.30000000000000004,748,0.699438202247191,0.9798670968803087
wikivital-mathematics,wikivital-mathematics,random,4,0.35000000000000003,694,0.648876404494382,0.9783704121527401
wikivital-mathematics,wikivital-mathematics,random,4,0.4,641,0.599250936329588,0.9791781342113867
wikivital-mathematics,wikivital-mathematics,random,4,0.45,587,0.548689138576779,0.9740557348596988
wikivital-mathematics,wikivital-mathematics,random,4,0.5,534,0.49812734082397003,0.9670035551532522
wikivital-mathematics,wikivital-mathematics,random,4,0.55,481,0.448501872659176,0.9352353650102244
wikivital-mathematics,wikivital-mathematics,random,4,0.6000000000000001,427,0.398876404494382,0.9331505481201524
wikivital-mathematics,wikivital-mathematics,random,4,0.65,374,0.34925093632958804,0.9102817938380587
wikivital-mathematics,wikivital-mathematics,random,4,0.7000000000000001,320,0.29868913857677903,0.894402655591764
wikivital-mathematics,wikivital-mathematics,random,4,0.75,267,0.24906367041198502,0.876968586640884
wikivital-mathematics,wikivital-mathematics,random,4,0.8,214,0.19382022471910113,0.7995600517112715
wikivital-mathematics,wikivital-mathematics,random,4,0.8500000000000001,160,0.1441947565543071,0.7923392900682779
wikivital-mathematics,wikivital-mathematics,random,4,0.9,107,0.09363295880149813,0.7405671411898898
wikivital-mathematics,wikivital-mathematics,random,4,0.9500000000000001,53,0.040262172284644196,0.5208907593962917
wikivital-mathematics,wikivital-mathematics,random,4,1.0,0,0.0,0.0
wikivital-mathematics,wikivital-mathematics,random,5,0.0,1068,1.0,1.0
wikivital-mathematics,wikivital-mathematics,random,5,0.05,1015,0.950374531835206,1.001460519246813
wikivital-mathematics,wikivital-mathematics,random,5,0.1,961,0.899812734082397,0.9994171143976541
wikivital-mathematics,wikivital-mathematics,random,5,0.15000000000000002,908,0.850187265917603,0.9992527309807633
wikivital-mathematics,wikivital-mathematics,random,5,0.2,854,0.799625468164794,1.0018675308320957
wikivital-mathematics,wikivital-mathematics,random,5,0.25,801,0.7490636704119851,1.0009661728315322
wikivital-mathematics,wikivital-mathematics,random,5,0.30000000000000004,748,0.699438202247191,0.994153073447542
wikivital-mathematics,wikivital-mathematics,random,5,0.35000000000000003,694,0.648876404494382,0.9889314576697341
wikivital-mathematics,wikivital-mathematics,random,5,0.4,641,0.599250936329588,0.9829047272798929
wikivital-mathematics,wikivital-mathematics,random,5,0.45,587,0.549625468164794,0.9781356454203842
wikivital-mathematics,wikivital-mathematics,random,5,0.5,534,0.5,0.968633731692171
wikivital-mathematics,wikivital-mathematics,random,5,0.55,481,0.448501872659176,0.9520212015703341
