horizon,mae,rmse,mape
1,1.071845293045044,1.9449167251586914,111323.3125
2,1.4027690887451172,2.701244831085205,111266.5625
3,1.6507319211959839,3.309617519378662,111661.9140625
4,1.856934666633606,3.806366443634033,111920.0078125
5,2.032123565673828,4.218412399291992,112207.921875
6,2.1937267780303955,4.571197986602783,112166.8671875
7,2.3443925380706787,4.881302833557129,112089.1953125
8,2.486431837081909,5.157131671905518,112212.125
9,2.6232364177703857,5.405442714691162,112333.078125
10,2.7444875240325928,5.631693363189697,112423.03125
11,2.8600826263427734,5.840853691101074,112538.15625
12,2.97469425201416,6.037391662597656,112633.6875
