experiment_name,model,dataset,selection_metric,selected_params,selected_num_completed_seeds,final_num_completed_seeds,timestamp,test_mae_mean,test_mae_std,test_mae_ci95_low,test_mae_ci95_high,test_mae_min,test_mae_max,test_mae_n,test_rmse_mean,test_rmse_std,test_rmse_ci95_low,test_rmse_ci95_high,test_rmse_min,test_rmse_max,test_rmse_n,test_mape_mean,test_mape_std,test_mape_ci95_low,test_mape_ci95_high,test_mape_min,test_mape_max,test_mape_n,test_smape_mean,test_smape_std,test_smape_ci95_low,test_smape_ci95_high,test_smape_min,test_smape_max,test_smape_n,test_wape_mean,test_wape_std,test_wape_ci95_low,test_wape_ci95_high,test_wape_min,test_wape_max,test_wape_n,test_loss_normalized_mean,test_loss_normalized_std,test_loss_normalized_ci95_low,test_loss_normalized_ci95_high,test_loss_normalized_min,test_loss_normalized_max,test_loss_normalized_n,num_completed_seeds,val_mae_mean,val_mae_std,val_mae_ci95_low,val_mae_ci95_high,val_mae_min,val_mae_max,val_mae_n,val_rmse_mean,val_rmse_std,val_rmse_ci95_low,val_rmse_ci95_high,val_rmse_min,val_rmse_max,val_rmse_n,val_mape_mean,val_mape_std,val_mape_ci95_low,val_mape_ci95_high,val_mape_min,val_mape_max,val_mape_n,val_smape_mean,val_smape_std,val_smape_ci95_low,val_smape_ci95_high,val_smape_min,val_smape_max,val_smape_n,val_wape_mean,val_wape_std,val_wape_ci95_low,val_wape_ci95_high,val_wape_min,val_wape_max,val_wape_n,val_loss_normalized_mean,val_loss_normalized_std,val_loss_normalized_ci95_low,val_loss_normalized_ci95_high,val_loss_normalized_min,val_loss_normalized_max,val_loss_normalized_n,rank_in_dataset,delta_vs_best_pct
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-11h_30-epoch_1,STICformer,metr-la-by-nois_corr-with-alpah_filter0_4,val_mae,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T11:53:21.805670,5.998066425323486,0.0,5.998066425323486,5.998066425323486,5.998066425323486,5.998066425323486,1,12.030644416809082,0.0,12.030644416809082,12.030644416809082,12.030644416809082,12.030644416809082,1,15679320064.0,0.0,15679320064.0,15679320064.0,15679320064.0,15679320064.0,1,34.5926513671875,0.0,34.5926513671875,34.5926513671875,34.5926513671875,34.5926513671875,1,11.82132625579834,0.0,11.82132625579834,11.82132625579834,11.82132625579834,11.82132625579834,1,0.3801340786566105,0.0,0.3801340786566105,0.3801340786566105,0.3801340786566105,0.3801340786566105,1,1,5.303467750549316,0.0,5.303467750549316,5.303467750549316,5.303467750549316,5.303467750549316,1,11.00048542022705,0.0,11.00048542022705,11.00048542022705,11.00048542022705,11.00048542022705,1,11233105920.0,0.0,11233105920.0,11233105920.0,11233105920.0,11233105920.0,1,23.466018676757812,0.0,23.466018676757812,23.466018676757812,23.466018676757812,23.466018676757812,1,9.67076587677002,0.0,9.67076587677002,9.67076587677002,9.67076587677002,9.67076587677002,1,0.31745949471108265,0.0,0.31745949471108265,0.31745949471108265,0.31745949471108265,0.31745949471108265,1,1,0.0
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-11h_30-epoch_1,MTGNN,metr-la-by-nois_corr-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",1,1,2026-04-22T11:53:21.805597,6.884324550628662,0.0,6.884324550628662,6.884324550628662,6.884324550628662,6.884324550628662,1,12.37030029296875,0.0,12.37030029296875,12.37030029296875,12.37030029296875,12.37030029296875,1,20654348288.0,0.0,20654348288.0,20654348288.0,20654348288.0,20654348288.0,1,35.26586151123047,0.0,35.26586151123047,35.26586151123047,35.26586151123047,35.26586151123047,1,13.568014144897461,0.0,13.568014144897461,13.568014144897461,13.568014144897461,13.568014144897461,1,0.4019282045730642,0.0,0.4019282045730642,0.4019282045730642,0.4019282045730642,0.4019282045730642,1,1,5.935966968536377,0.0,5.935966968536377,5.935966968536377,5.935966968536377,5.935966968536377,1,11.22963809967041,0.0,11.22963809967041,11.22963809967041,11.22963809967041,11.22963809967041,1,13436772352.0,0.0,13436772352.0,13436772352.0,13436772352.0,13436772352.0,1,24.22216033935547,0.0,24.22216033935547,24.22216033935547,24.22216033935547,24.22216033935547,1,10.824114799499512,0.0,10.824114799499512,10.824114799499512,10.824114799499512,10.824114799499512,1,0.33085860099608655,0.0,0.33085860099608655,0.33085860099608655,0.33085860099608655,0.33085860099608655,1,2,14.775730418113508
simple_backbone_metr-la-by-nois_corr-with-alpah_filter0_4_GraphWaveNet_22_04_2026-11h_30-epoch_1,GraphWaveNet,metr-la-by-nois_corr-with-alpah_filter0_4,val_mae,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",1,1,2026-04-22T11:53:21.805401,7.461538314819336,0.0,7.461538314819336,7.461538314819336,7.461538314819336,7.461538314819336,1,12.482209205627441,0.0,12.482209205627441,12.482209205627441,12.482209205627441,12.482209205627441,1,22280566784.0,0.0,22280566784.0,22280566784.0,22280566784.0,22280566784.0,1,35.74077224731445,0.0,35.74077224731445,35.74077224731445,35.74077224731445,35.74077224731445,1,14.705617904663086,0.0,14.705617904663086,14.705617904663086,14.705617904663086,14.705617904663086,1,0.40921404033411884,0.0,0.40921404033411884,0.40921404033411884,0.40921404033411884,0.40921404033411884,1,1,6.551762580871582,0.0,6.551762580871582,6.551762580871582,6.551762580871582,6.551762580871582,1,11.334979057312012,0.0,11.334979057312012,11.334979057312012,11.334979057312012,11.334979057312012,1,14623662080.0,0.0,14623662080.0,14623662080.0,14623662080.0,14623662080.0,1,24.88482666015625,0.0,24.88482666015625,24.88482666015625,24.88482666015625,24.88482666015625,1,11.947005271911621,0.0,11.947005271911621,11.947005271911621,11.947005271911621,11.947005271911621,1,0.33706640152730677,0.0,0.33706640152730677,0.33706640152730677,0.33706640152730677,0.33706640152730677,1,3,24.399061059363337
