backbone,NC,HSS,Full,DF
NC,1.0,1.0,0.9890583014313,0.3894010874026901
HSS,1.0,1.0,0.9890583014313,0.3894010874026901
Full,0.9890583014313,0.9890583014313,1.0,0.5853691712347624
DF,0.3894010874026901,0.3894010874026901,0.5853691712347624,1.0
