dataset,graph_name,strategy,auc_lcc_mean,auc_lcc_std,auc_efficiency_mean,auc_efficiency_std
pems-bay,pems-bay,random,0.4320153846153847,0.011282097902001608,0.6545662739979148,0.03490285471100416
pems-bay,pems-bay,targeted_degree,0.2686923076923078,,0.27145645590492495,
pems-bay,pems-bay-by-disp_fil-with-alpah_filter0_3,random,0.13758461538461536,0.013758277647048733,0.5822013658581282,0.04357006922391589
pems-bay,pems-bay-by-disp_fil-with-alpah_filter0_3,targeted_degree,0.08669230769230771,,0.2510855873611785,
