dataset,graph_name,strategy,auc_lcc_mean,auc_lcc_std,auc_efficiency_mean,auc_efficiency_std
wikivital-mathematics,wikivital-mathematics,random,0.4971956928838952,0.0009398213088035222,0.8777664636166275,0.0225748667698071
wikivital-mathematics,wikivital-mathematics,targeted_degree,0.4303370786516854,,0.40278930917308736,
wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,random,0.4970365168539327,0.0010570461151174404,0.8672293968016682,0.020459729783894313
wikivital-mathematics,wikivital-mathematics-by-nois_corr-with-alpah_filter0_3,targeted_degree,0.43029026217228467,,0.4187198185357334,
