backbone,NC,Full,HSS,DF
NC,1.0,0.8077574765130124,0.5362869683523485,0.11358109885511547
Full,0.8077574765130124,1.0,0.9701777421068785,0.5362869683523482
HSS,0.5362869683523485,0.9701777421068785,1.0,0.8077574765130123
DF,0.11358109885511547,0.5362869683523482,0.8077574765130123,1.0
