backbone,NC,HSS,Full,DF
NC,1.0,0.9960587537406428,0.9081317739014172,0.03664844286097457
HSS,0.9960587537406428,1.0,0.9701777421068783,0.06638945003343655
Full,0.9081317739014172,0.9701777421068783,1.0,0.18328657955037886
DF,0.03664844286097457,0.06638945003343655,0.18328657955037886,1.0
