backbone,NC,Full,DF,HSS
NC,1.0,0.9216027650250743,0.3894010874026901,0.11949503728587263
Full,0.9216027650250743,1.0,0.7784833687572139,0.3894010874026901
DF,0.3894010874026901,0.7784833687572139,1.0,0.9216027650250743
HSS,0.11949503728587263,0.3894010874026901,0.9216027650250743,1.0
