model_a,model_b,rank_diff,p_value,significant
NC,HSS,0.0,1.0,False
NC,Full,0.3333333333333335,0.9890583014313,False
NC,DF,1.6666666666666665,0.3894010874026901,False
HSS,Full,0.3333333333333335,0.9890583014313,False
HSS,DF,1.6666666666666665,0.3894010874026901,False
Full,DF,1.333333333333333,0.5853691712347624,False
