horizon,mae,rmse,mape
1,1.5337729454040527,2.8214502334594727,40109840.0
2,1.7669949531555176,3.3398244380950928,40032664.0
3,2.0230016708374023,3.9092774391174316,40102476.0
4,2.2320427894592285,4.357914924621582,40212952.0
5,2.391009569168091,4.739231109619141,40199692.0
6,2.531222105026245,5.042639255523682,40077920.0
7,2.649807929992676,5.274515628814697,40135268.0
8,2.760803699493408,5.531006813049316,40110552.0
9,2.913883686065674,5.829860210418701,40137452.0
10,3.00087833404541,5.987173080444336,40150296.0
11,3.0627005100250244,6.104006290435791,40063784.0
12,3.215594530105591,6.335763931274414,39977828.0
