experiment_name,model,dataset,run_name,seed,phase,params,train_epochs_completed,train_loss_last,val_loss_normalized,val_mae,val_rmse,val_mape,val_smape,val_wape,test_loss_normalized,test_mae,test_rmse,test_mape,test_smape,test_wape
simple_backbone_pems-bay-by-nois_corr-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30,GraphWaveNet,pems-bay-by-nois_corr-with-alpah_filter0_4,simple_backbone_pems-bay-by-nois_corr-with-alpah_filter0_4_GraphWaveNet_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""hidden_dim"": 64, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""patience"": 5, ""weight_decay"": 0.0001}",22,0.20442854580387734,0.25712187501367617,2.2678964138031006,4.770674705505371,135733.0625,4.69450044631958,3.651719808578491,0.21577992306256588,2.091175079345703,4.388820171356201,112737.7421875,4.2211174964904785,3.3479504585266113
simple_backbone_pems-bay-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30,MTGNN,pems-bay-by-nois_corr-with-alpah_filter0_4,simple_backbone_pems-bay-by-nois_corr-with-alpah_filter0_4_MTGNN_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dilation_base"": 2, ""dropout"": 0.1, ""gcn_depth"": 2, ""hidden_dim"": 64, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""patience"": 5, ""propalpha"": 0.05, ""weight_decay"": 0.0001}",30,0.23028648668867455,0.2728123587950424,2.3354814052581787,4.911331653594971,134321.203125,4.823703765869141,3.7605438232421875,0.2400103858929196,2.1867876052856445,4.6290435791015625,112062.2890625,4.42021369934082,3.5010247230529785
simple_backbone_pems-bay-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30,STICformer,pems-bay-by-nois_corr-with-alpah_filter0_4,simple_backbone_pems-bay-by-nois_corr-with-alpah_filter0_4_STICformer_22_04_2026-17h_33-epoch_30_final_seed42,42,final,"{""dropout"": 0.1, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""patience"": 5, ""weight_decay"": 0.0001}",18,0.1754213260454044,0.20174289732440118,1.9916608333587646,4.224711894989014,135315.8125,4.104864120483398,3.2069311141967773,0.18069670227087714,1.8877062797546387,4.016567707061768,112671.0234375,3.7910268306732178,3.0221989154815674
