model_a,model_b,rank_diff,p_value,significant
NC,Full,0.6666666666666667,0.8077574765130124,False
NC,HSS,0.9999999999999998,0.5362869683523485,False
NC,DF,1.6666666666666667,0.11358109885511547,False
Full,HSS,0.33333333333333304,0.9701777421068785,False
Full,DF,1.0,0.5362869683523482,False
HSS,DF,0.666666666666667,0.8077574765130123,False
