dataset,original_graph,backbone_graph,metric,k,overlap_size,overlap_ratio
wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-glanb-with-alpah_filter0_3,degree_centrality,20,15,0.75
wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-glanb-with-alpah_filter0_3,betweenness_centrality,20,19,0.95
wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-glanb-with-alpah_filter0_3,closeness_centrality,20,20,1.0
wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-glanb-with-alpah_filter0_3,eigenvector_centrality,20,14,0.7
wikivital-mathematics,wikivital-mathematics,wikivital-mathematics-by-glanb-with-alpah_filter0_3,pagerank,20,19,0.95
