horizon,mae,rmse,mape
1,1.0290632247924805,1.8497568368911743,112191.6015625
2,1.2794581651687622,2.4789299964904785,112088.0859375
3,1.4836397171020508,3.0184686183929443,112327.1328125
4,1.6531540155410767,3.4537551403045654,112415.9921875
5,1.7977113723754883,3.802622079849243,112489.328125
6,1.9246222972869873,4.089208126068115,112405.1875
7,2.037698984146118,4.333580017089844,112372.5859375
8,2.141815662384033,4.544292449951172,112354.578125
9,2.2366273403167725,4.731464385986328,112375.2421875
10,2.325636863708496,4.901665210723877,112376.6484375
11,2.4090802669525146,5.060360908508301,112400.5390625
12,2.4932470321655273,5.2141337394714355,112402.9765625
